"Concentration","Response","IS","Compound"
"10",566366,27162902,"AMP"
"10",545274,27031561,"AMP"
"10",532722,28686767,"AMP"
"20",976753,26380195,"AMP"
"20",973432,27040552,"AMP"
"20",887977,26457887,"AMP"
"50",2172738,28735484,"AMP"
"50",2157535,29740622,"AMP"
"50",2162671,28550063,"AMP"
"100",4239564,27951499,"AMP"
"100",4352119,27185282,"AMP"
"100",4191914,27993618,"AMP"
"500",20069768,27176666,"AMP"
"500",19656229,26274107,"AMP"
"500",20846594,26142097,"AMP"
"1000",37056131,25228841,"AMP"
"1000",38539907,25243074,"AMP"
"1000",39641967,26078717,"AMP"
"2000",71454962,25963333,"AMP"
"2000",75256135,25493106,"AMP"
"2000",77175318,25582324,"AMP"
"unknown",1331959,44848138,"AMP"
"unknown",1312460,42019390,"AMP"
"unknown",31481688,24381093,"AMP"
"unknown",30891103,23691862,"AMP"
"50",558813,7382988,"ATP"
"50",572079,7432637,"ATP"
"50",602706,6347033,"ATP"
"100",1045082,7455486,"ATP"
"100",1101189,7167873,"ATP"
"100",1036671,6013104,"ATP"
"500",5495230,7300879,"ATP"
"500",5417256,7220081,"ATP"
"500",4933853,6814507,"ATP"
"1000",12653374,8332742,"ATP"
"1000",11715523,7953749,"ATP"
"1000",11814820,7949020,"ATP"
"2000",27393770,9861933,"ATP"
"2000",26417171,9947422,"ATP"
"2000",27792525,10172141,"ATP"
"unknown",55088365,19403298,"ATP"
"unknown",52189030,18845623,"ATP"
